,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
49,2484,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> <unknown> <number> was walking,russian man <unknown> <unknown> <number> was walking to his favourite fishing spot when a brown,agree,agree
50,2486,lisa <unknown> did not send <unknown> tweet about bill <unknown> twitter account fake  ,twitter account in lisa <unknown>,a <unknown> tweet posted on an unverified twitter account in lisa <unknown> name that was,agree,agree
51,2511,wife cuts off husband 's penis twice after catching him cheating    ,their bedroom where he was,grabbing a pair of scissors she stormed into their bedroom where he was sleeping and,agree,agree
52,2541,how 's it going teenager wakes up during brain surgery and asks doctors for progress,this operation but it is,i missed christmas because of this operation but it is the best present i could,agree,agree
53,2580,children in dog fighting horror          ,<unknown> of the fights are,and in a bizarre twist the <unknown> of the fights are <unknown> just like a,agree,agree
54,2619,i am lost for words <unknown> boy billed for missing friends birthday party  ,his <unknown> whom he chose,so where was alex out with his <unknown> whom he chose over the party when,agree,agree
55,2621,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,    ,              ,agree,agree
56,2644,<unknown> woman outed as fake by tampa police       ,could indicate <unknown> <unknown> did,<unknown> came up with a number of intriguing arguments that could indicate <unknown> <unknown> did,agree,agree
57,2693,no joke <unknown> billed for missing friends birthday party      ,was a joke and the,at first they thought the bill was a joke and the woman they would not,agree,agree
58,2769,justin bieber <unknown> saved a russian fisherman during a bear attack    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
59,2803,justin bieber helps defend russian fisherman from bear       ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
60,2824,<unknown> <unknown> files <unknown> charges against bill <unknown> is fake     ,the news that <unknown> <unknown>,<unknown> paint shared the news that <unknown> <unknown> is revealing that bill <unknown> molested her,agree,agree
61,2837,brain op shock as teen wakes up <unknown>       ,this operation but it is,i missed christmas because of this operation but it is the best present i could,agree,agree
62,2840,after finding out <unknown> that her <unknown> was unwell this bride married a wedding guest,<unknown> police station in <unknown>,an <unknown> was later filed at the <unknown> police station in <unknown> district by the,agree,agree
63,2924,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,son born to a family,according to legend the seventh son born to a family turns into a ferocious el,agree,agree
64,2926,<unknown> writes moving letter to teacher who came out as gay to his class ,because you shared a personal,the reason why i say brave is because you shared a personal secret which was,agree,agree
65,2985,bieber <unknown> <unknown> bear saves man 's life       ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
66,3017,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,<unknown> <unknown> was heading to,<unknown> <unknown> was heading to a local fishing spot in northern russias <unknown> republic when,agree,agree
67,3052,florida woman gets plastic surgery to add a third <unknown>     ,a complaint against him when,officers confirmed she had withdrawn a complaint against him when pressed for more details according,disagree,disagree
68,3059,woman bit by scorpion on alaska airlines flight is chill as hell   ,a scorpion <unknown> a woman,los angeles cbs <unknown> a scorpion <unknown> a woman on the hand just before her,agree,agree
69,3202,<unknown> <unknown> the woman with three breasts        ,<unknown> had to call <unknown>,<unknown> had to call <unknown> doctors in order to get her controversial operation she said,agree,agree
70,3400,<unknown> <unknown> doctor denies selfie          ,by cnn <unknown> categorically denies,according to a report by cnn <unknown> categorically denies taking the selfie and also denies,agree,agree
71,3417,<unknown> the intersex cat to get gender assignment       ,male cat and <unknown> has,and since <unknown> already had a male cat and <unknown> has both genitalia she decided,agree,agree
72,3567,police chief in charge of paris attacks <unknown> suicide      ,this story has received very,this story has received very little coverage in the media as yet are the circumstances,agree,agree
73,3741,top cop investigating charlie hebdo attacks kills himself hours after french massacre   ,french police officer investigating the,a senior french police officer investigating the charlie hebdo magazine massacre killed himself just hours,agree,agree
74,3745,<unknown> eyes ban saudi women with pretty eyes made to cover them up  ,law in saudi arabia forcing,a new law in saudi arabia forcing women to wear full <unknown> if their eyes,disagree,disagree
75,3758,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,<unknown> was sitting in the,<unknown> <unknown> was sitting in the passenger seat of the vehicle at a <unknown> gas,agree,agree
76,3832,five-year-old boy gets a bill for missing school friend 's birthday party   ,was a joke but the,mr <unknown> said he originally thought it was a joke but the issue has remained,agree,agree
77,3867,<unknown> teen dies by suicide leaves <unknown> note there 's no way out  ,in this article please call,if you ve been affected by the issues in this article please call the <unknown>,agree,agree
78,3871,lisa <unknown> tweet about bill <unknown> sent from fake account manager confirms   ,answer no she was not,the answer no she was not         ,agree,agree
79,3932,saudi airline <unknown> to ban <unknown>         ,    ,              ,agree,agree
80,3956,florida woman gets plastic surgery to add a third <unknown>     ,<unknown> to men because i,i got it because i wanted to make myself <unknown> to men because i do,agree,agree
81,4022,stop sharing those photos of fancy international school lunches      ,sharing those photos of fancy,stop sharing those photos of fancy international school lunches      ,agree,agree
82,4104,woman bit by scorpion on alaska airlines flight is chill as hell   ,a scorpion <unknown> a woman,a scorpion <unknown> a woman on an alaska airlines flight from los angeles to portland,agree,agree
83,4139,this <unknown> cat returned home five days after being buried by its owner  ,tampa bay region of florida,a cat in the tampa bay region of florida has seemingly risen from the dead,agree,agree
84,4210,justin bieber basically saves a russian man from a bear     ,n't to everyone 's taste,i know that sort of <unknown> is n't to everyone 's taste but my granddaughter,agree,agree
85,4219,<unknown> <unknown> doctor denies unauthorized procedure selfie before cardiac arrest     ,taking a selfie photo while,dr <unknown> <unknown> also categorically denies taking a selfie photo while <unknown> was under <unknown>,agree,agree
86,4225,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,source close to the <unknown>,cnn 's source close to the <unknown> also provided new details thursday including that a,agree,agree
87,4247,a justin bieber <unknown> just saved a mans life who was being attacked by a,experts believe that the <unknown>,wildlife experts believe that the <unknown> must have startled the bear into halting its assault,agree,agree
88,4350,man removed from plane over christmas greeting dispute       ,<unknown> before <unknown> the attendants,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
89,4504,transgender teen who committed suicide left <unknown> note saying she would never be happy ,<unknown> <unknown> posted a tribute,her mother <unknown> <unknown> posted a tribute to her daughter on facebook but referred to,agree,agree
90,4516,i never intended to kill his penis i was just angry <unknown> acid attack girl,happened in a <unknown> of,everything happened in a <unknown> of an eye because i saw her when she was,agree,agree
91,4533,justin bieber <unknown> <unknown> bear          ,<unknown> republic russia <unknown> <unknown>,fishing in the <unknown> republic russia <unknown> <unknown> is lucky to be alive after his,agree,agree
92,4575,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,<unknown> <unknown> 's mother <unknown>,<unknown> <unknown> 's mother <unknown> <unknown> <number> said i had popped out to see a,agree,agree
93,4632,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,has blurry vision in the,<unknown> has lost sight in her left eye and has blurry vision in the other,agree,agree
94,4665,argentine president takes on <unknown> but not to keep <unknown> at bay   ,<unknown> to <unknown> a <unknown>,under a law the country has followed since the <unknown> to <unknown> a <unknown> legend,disagree,disagree
95,4674,i will have justice for what they did to me pregnant st louis woman loses,    ,              ,agree,agree
96,4717,justin bieber <unknown> <unknown> bear saves russian fisherman       ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
97,4756,man saved from bear attack thanks to his justin bieber <unknown>    ,<unknown> around his face and,<unknown> suffered several cuts and large <unknown> around his face and chest and is currently,agree,agree
98,4761,children used to replace fighting dogs         ,of between <unknown> and <unknown>,other children placed bets of between <unknown> and <unknown>      ,agree,agree
99,4772,angry passenger tossed off plane after crew wishes him merry christmas    ,to dallas when a <unknown>,the man was waiting to board american airlines flight <number> to dallas when a <unknown>,agree,agree
100,4782,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,know that sort of <unknown>,he also justified his surprising <unknown> i know that sort of <unknown> is n't to,agree,agree
101,4797,boy <number> billed with no show fee for missing friend 's birthday party  ,the financial concerns and said,<unknown> has said he understood the financial concerns and said it was the way lawrence,agree,agree
102,4820,wife chopped her husband 's penis off after she discovered he had <unknown> on her,happening and found the patient,staff rushed out to see what was happening and found the patient with blood streaming,agree,agree
103,4874,south korean woman 's hair eaten by robot vacuum cleaner     ,likelihood of this type accident,the likelihood of this type accident occurring is undoubtedly more significant in countries with a,agree,agree
104,4877,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,<unknown> <unknown> <number> attacked her,<unknown> <unknown> <number> attacked her nephew <unknown> <unknown> as she was supposed to be looking,agree,agree
105,4901,afghan family kills <number> in revenge for son 's death     ,few minutes later <unknown> was,few minutes later <unknown> was not alone when she found her husband daughter youngest son,agree,agree
106,4912,snowden <unknown> on a shelf actually hugely successful nsa project read more <unknown>  ,every home with a child,now the nsa has an agent inside practically every home with a child in it,agree,agree
107,4948,scorpion <unknown> <unknown> on alaska airlines flight from la      ,among the <number> passengers were,among the <number> passengers were players and coaches for the oregon state university <unknown> basketball,agree,agree
108,4988,justin bieber <unknown> saves russian fisherman from bear attack      ,like a <unknown> can stop,one expert told central european news that an unexpected noise like a <unknown> can stop,agree,agree
109,5009,<unknown> cat named <unknown> to get gender <unknown>       ,both male and female genitalia,<unknown> the cat has both male and female genitalia      ,agree,agree
110,5012,transgender teen <unknown> suicide <unknown> a <unknown> note urging the world to change  ,realized that my parents would,when i was <number> i realized that my parents would never come around and that,agree,agree
111,5020,us video showing <unknown> beheading is authentic        ,us intelligence agencies have developed,the pentagon and us intelligence agencies have developed lists of possible islamic state targets in,agree,agree
112,5035,woman bit by scorpion on alaska airlines flight is chill as hell   ,    ,              ,agree,agree
113,5045,no michael jackson isnt bruno mars dad        ,claims in the story are,however the claims in the story are untrue no such private information was leaked and,agree,agree
114,5058,sorry argentina 's president did n't actually <unknown> a jewish <unknown>    ,<unknown> <unknown> passed the law,although <unknown> <unknown> passed the law in <number> its still so that not every seventh,agree,agree
115,5068,this <unknown> cat returned home five days after being buried by its owner  ,they think he <unknown> his,they think he <unknown> his way out of the ground before hiding for several days,agree,agree
116,5090,man in china recovering in hospital after wife chopped off his penis   ,his wife 's cell phone,<unknown> dad of five fan lung <number> had used his wife 's cell phone to,agree,agree
117,5127,<unknown> to split into two companies         ,fourth year of its five-year,the firm is now in the fourth year of its five-year turnaround plan aimed at,agree,agree
118,5159,transgender teenager <number> leaves <unknown> suicide note blaming her christian parents before walking in front,transgender <unknown> and the struggles,the suicide note detailed her early problems with transgender <unknown> and the struggles of growing,agree,agree
119,5338,found at canadian border <number> afghan soldiers missing from <unknown> <unknown>    ,one of a series of,the training known as exercise regional cooperation <number> is one of a series of annual,agree,agree
120,5369,no joke <unknown> billed for missing friends birthday party      ,was a joke but the,mr <unknown> said he originally thought it was a joke but the issue has remained,agree,agree
121,5396,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,the way down to your,and now for a story that will warm you all the way down to your,agree,agree
122,5486,the <unknown> was sick so the bride married a guest at her wedding in a,told of <unknown> 's <unknown>,but <unknown> angry that her family had not been told of <unknown> 's <unknown> decided,agree,agree
123,5490,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,<unknown> <unknown> had <unknown> and,<unknown> <unknown> had <unknown> and was lying in a pool of blood   ,agree,agree
124,5512,even though you 're gay i will always treat you the same way as i,because you shared a personal,the reason why i say brave is because you shared a personal secret which was,agree,agree
125,5529,these men freak out when they discover the women they are harassing are their <unknown>,<unknown> marks the international day,november <unknown> marks the international day for the elimination of violence against women so <unknown>,agree,agree
126,5541,scorpion <unknown> woman on <unknown> plane         ,scorpion got on to the,it is not known how the scorpion got on to the plane but the flight,agree,agree
127,5563,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,thursday including that a sedated,<unknown> source close to the investigation also provided new details thursday including that a sedated,agree,agree
128,5582,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,told <unknown> he was sure,the man told <unknown> he was sure it was dead he has no explanation for,agree,agree
129,5688,justin bieber helps defend russian fisherman from bear       ,    ,              ,agree,agree
130,5700,people actually believed <unknown> president adopted a jewish boy to stop his change into a,as a magical moment on,but what <unknown> described as a magical moment on twitter has become a hairy situation,agree,agree
131,5737,ohio <unknown> teen <unknown> suicide leaves <unknown> note declaring theres no way out  ,<unknown> died around <number> am,<unknown> died around <number> am sunday after she was hit by a <unknown> trailer near,agree,agree
132,5774,woman <unknown> by scorpion on alaska airlines flight       ,tinkle 's account of how,the <unknown> newspaper also confirms tinkle 's account of how the scorpion made it onto,agree,agree
133,5796,man 's girlfriend <unknown> acid on his penis after he <unknown> recorded their sex session,<unknown> out of a tube,<unknown> who now has to <unknown> out of a tube has elected not to press,agree,agree
134,5823,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,sister his aunt had gone,my sister his aunt had gone         ,agree,agree
135,5907,bear attack foiled by justin biebers music a story too good to check  ,stomach and chest fisherman while,bear <unknown> and teeth left serious wounds on his stomach and chest fisherman while doctors,agree,agree
136,5920,hong <unknown> protesters <unknown> <unknown> hands up dont shoot      ,interesting to note the spread,it is of course interesting to note the spread of the <unknown> do n't shoot,agree,agree
137,5958,<unknown> cat named <unknown> to get gender <unknown>       ,it to be a female,id like for it to be a female but it really doesnt matter owner <unknown>,agree,agree
138,5962,transgender teen <unknown> suicide <unknown> a <unknown> note urging the world to change  ,on sunday morning in warren,the ohio transgender teen died during the early hours on sunday morning in warren county,agree,agree
139,5965,<unknown> <unknown> rebels seize us marines weapons at airport      ,and french embassies have been,british and french embassies have been temporarily closed with germany perhaps not far behind ,agree,agree
140,5999,saudi <unknown> religious police <unknown> <unknown> eyes        ,sheikh <unknown> al <unknown> spokesman,sheikh <unknown> al <unknown> spokesman of the saudi arabian committee said in the announcement that,agree,agree
141,6117,a justin bieber <unknown> just saved a mans life who was being attacked by a,his <unknown> said i had,mr <unknown> now recovering from his <unknown> said i had parked my car and was,agree,agree
142,6144,canadian cat <unknown> to undergo gender <unknown> surgery after it is revealed to be a,bowel and <unknown> <unknown> issues,<unknown> has to have the surgery to correct bowel and <unknown> <unknown> issues  ,agree,agree
143,6166,report woman who claimed to have third <unknown> added is fake    ,a complaint against him when,officers confirmed she had withdrawn a complaint against him when pressed for more details according,agree,agree
144,6208,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,<unknown> <unknown> <number> went through,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
145,6224,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,apparently can not be named,the girl apparently can not be named as she is under age according to african,agree,agree
146,6235,<unknown> to split into two companies         ,off <unknown> technologies a <number>,<unknown> in <number> spun off <unknown> technologies a <number> a maker of <unknown> gear and,agree,agree
147,6286,a justin bieber <unknown> just saved a mans life who was being attacked by a,    ,              ,agree,agree
148,6307,airline passenger freaks out over crew 's merry christmas greeting     ,<unknown> before <unknown> the attendants,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
149,6334,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,was at a gas station,<unknown> <unknown> says she was at a gas station in the st louis suburb in,agree,agree
150,6376,lunch theft <unknown> ransom note from sandwich <unknown>       ,involved in the situation and,<unknown> then got involved in the situation and told the alleged <unknown> to give back,agree,agree
151,6386,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,children is now much <unknown>,although having seven children is now much <unknown> than <number> years ago seventh sons or,agree,agree
152,6392,justin bieber <unknown> saved a russian fisherman during a bear attack    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
153,6397,i am lost for words <unknown> boy billed for missing friends birthday party  ,if alex was coming to,he said she saw me and asked if alex was coming to the party at,agree,agree
154,6443,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
155,6476,throat specialist to the stars allegedly involved in fatal <unknown> <unknown> procedure denies taking selfie,to the doctor <number> say,sources close to the doctor <number> say reports she took photo are lies  ,agree,agree
156,6607,justin bieber helps defend russian fisherman from bear       ,song has the ability to,while some might argue the pop song has the ability to <unknown> animals wildlife experts,agree,agree
157,6620,fowler falls for fake website makes crazy claims about <unknown> star    ,<unknown> star <unknown> <unknown> including,fowler reported a series of wrong facts about japanese <unknown> star <unknown> <unknown> including that,agree,agree
158,6686,woman pays <number> for third <unknown> to make herself less attractive to men  ,<unknown> <unknown> told orlando 's,i do n't want to date anymore <unknown> <unknown> told orlando 's real radio <number>,agree,agree
159,6736,five-year-old boy gets a bill for missing school friend 's birthday party   ,the financial concerns and said,<unknown> has said he understood the financial concerns and said it was the way lawrence,agree,agree
160,6738,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,<unknown> <unknown> <number> was never,shocked surgeons say <unknown> <unknown> <number> was never in danger despite her <unknown> consciousness while,agree,agree
161,6790,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,<unknown> posted a photo of,we recommend the <number> best celebrity selfies <unknown> de <unknown> posted a photo of herself,agree,agree
162,6808,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
163,6840,<unknown> confirms plan to split company         ,off <unknown> technologies a <number>,<unknown> in <number> spun off <unknown> technologies a <number> a maker of <unknown> gear and,agree,agree
164,6847,new twist charlie hebdo police investigator turns up dead <unknown>     ,a statement released after his,in a statement released after his death a spokesman for the union said it is,agree,agree
165,6885,rise of the <unknown> cat pet who was killed and buried by his owner climbed,the cat appeared to be,the cat appeared to be lifeless and the owner buried him five days later the,agree,agree
166,6920,allegation bill <unknown> sexually molested <unknown> <unknown> are just a hoax    ,the news that <unknown> <unknown>,<unknown> paint shared the news that <unknown> <unknown> is revealing that bill <unknown> molested her,agree,agree
167,6951,<unknown> to split in <number> companies         ,founded by bill <unknown> and,founded by bill <unknown> and dave <unknown> in a palo alto california garage in <number>,agree,agree
168,7026,justin bieber saves man from bear attack        ,<unknown> cinema against aids <unknown>,justin bieber at <unknown> 's <unknown> cinema against aids <unknown> photo getty   ,agree,agree
169,7162,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> year old <unknown> <unknown>,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
170,7347,kim jong-un loves cheese so much he 's ballooned in size and walks with limp,recovering from surgery after weight,the tubby tyrant is recovering from surgery after weight gain caused him to fracture his,agree,agree
171,7367,argentina 's president didnt <unknown> a jewish child to avoid becoming a <unknown> so what,that this argentinian custom was,over the last few days sources have been reporting that this argentinian custom was adopted,agree,agree
172,7486,justin bieber helps defend russian fisherman from bear       ,the bear began to <unknown>,but as the bear began to <unknown> at him <unknown> 's mobile went off and,agree,agree
173,7522,<unknown> woman theyre not fake          ,<unknown> <unknown> <unknown> not her,massage <unknown> <unknown> <unknown> not her real name decided to take the extreme step as,agree,agree
174,7618,<unknown> <unknown> doctor denies selfie          ,source close to the <unknown>,cnn 's source close to the <unknown> also provided new details thursday including that a,agree,agree
175,7689,a <unknown> girl gave this <unknown> letter to her teacher after he came out as,youre gay i will always,even though youre gay i will always treat you the same way as i do,agree,agree
176,7726,man 's girlfriend <unknown> acid on his penis after he <unknown> recorded their sex session,dating the schoolgirl since december,<unknown> said he had been dating the schoolgirl since december     ,agree,agree
177,7850,<unknown> cat is getting gender assignment surgery        ,<unknown> <unknown> and her <unknown>,<unknown> was adopted by <unknown> <unknown> and her <unknown> live in heart 's desire newfoundland,agree,agree
178,7865,<unknown> announces plan to split in two        ,<unknown> <unknown> and its investors,the planned breakup is one that palo alto <unknown> <unknown> and its investors have long,agree,agree
179,7893,justin bieber saves man from bear attack        ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
180,7917,sorry argentina 's president did n't actually <unknown> a jewish <unknown>    ,latin american president with a,evidently the chance meeting of a latin american president with a <unknown> myth too good,agree,agree
181,7947,the story of the <unknown> lady is as fake as her third <unknown>  ,believe <number> percent that this,i believe <number> percent that this is a hoax that everyone is falling for dr,agree,agree
182,8010,scorpion <unknown> woman on <unknown> plane         ,among the <number> passengers were,among the <number> passengers were players and coaches for the oregon state university <unknown> basketball,agree,agree
183,8049,a justin bieber <unknown> just saved a mans life who was being attacked by a,the bear began to <unknown>,but as the bear began to <unknown> at him <unknown> 's mobile went off and,agree,agree
